"","ProbeName","geneSymbol","LocusLinkID","moduleColor","GS.Treatment","p.GS.Treatment","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.brown","p.MM.brown"
"CUST_9039_PI428634872","CUST_9039_PI428634872","S_alt_contig02513_RC","AT2G11520","blue",0.591069977786509,0.00978794988018824,0.33861535275895,0.169286846406543,-0.756072346316545,0.000283344396005872,-0.377296741971012,0.122706216229204
"CUST_15819_PI428634872","CUST_15819_PI428634872","S_alt_contig14312_NB",NA,"blue",-0.590421947120016,0.0098888685833621,-0.528398924775659,0.024178254997119,0.748547919283699,0.000352021244406287,0.39915362954213,0.10081205110229
"CUST_9723_PI428634872","CUST_9723_PI428634872","S_alt_contig03378_RC","AT1G67730","blue",0.589965634922863,0.00996043037866679,0.434280640822637,0.0717336102798059,-0.795760013087991,7.84036015565566e-05,-0.184203091928889,0.46435205119991
"CUST_3117_PI428634872","CUST_3117_PI428634872","S_5sp_contig35445","AT1G68300","blue",0.589938464450308,0.00996470449657025,0.62352395303997,0.00569399859610187,-0.729519504637461,0.000590570237588389,-0.49443716815106,0.0369940736153346
"CUST_9173_PI428634872","CUST_9173_PI428634872","S_alt_contig02686_RC","AT1G14570","blue",0.58985860193006,0.00997727598623571,0.574258458987397,0.012688672530119,-0.775572215216408,0.000155578009880394,-0.222751074224465,0.374302035687557
"CUST_8518_PI428634872","CUST_8518_PI428634872","S_alt_contig01815_RC","AT1G35530","blue",0.589650424616035,0.0100101058620749,0.562715078632653,0.0150497610642141,-0.699243181415554,0.00124070973351024,-0.359090399931879,0.14334328635622
"CUST_16062_PI428634872","CUST_16062_PI428634872","S_alt_contig15048","AT4G00440","blue",0.589364303578156,0.0100553689277324,0.438323922957411,0.068836220971109,-0.621256951668939,0.00592471199722972,-0.338501427148127,0.169439512219607
"CUST_1918_PI428634872","CUST_1918_PI428634872","S_5sp_contig29268_RC","AT5G43600","blue",0.589190129592208,0.0100830027599971,0.624006734605531,0.00564582108316154,-0.708189499242802,0.00100573002118409,-0.494328918511811,0.0370418958643898
"CUST_10166_PI428634872","CUST_10166_PI428634872","S_alt_contig03957_RC",NA,"blue",-0.588864195670097,0.0101348779215241,-0.627801413449477,0.00527855631761584,0.603962460733316,0.00794598432686596,0.478839580485637,0.0443883739557611
"CUST_3953_PI428634872","CUST_3953_PI428634872","S_5sp_contig40044","AT2G35710","blue",0.588324723640393,0.0102212096414611,0.347125974575214,0.158144218335103,-0.851636972155673,7.3307609230129e-06,-0.142229181104164,0.57344737983962
