"","ProbeName","oil_1_1_Median","oil_1_3_Median","oil_2_4_Median","oil_2_5_Median","oil_2_6_Median","oil_3_7_Median","oil_3_8_Median","oil_3_9_Median","no_4_10_Median","no_4_11_Median","no_5_13_Median","no_5_14_Median","no_5_15_Median","no_6_16_Median","no_6_17_Median","no_6_18_Median","oil_1_19_Median","no_4_20_Median","geneSymbol","LocusLinkID","moduleColor"
"322","CUST_12238_PI428634872",0.801856096,0.738726137,0.620927635,0.571347901,0.646812723,0.555815879,0.591789787,0.400690811,0.371432839,0.135122036,0.537180159,0.431330314,0.496678056,0.145671851,0.321633931,0.123837584,0.625031495,0.313484366,"S_alt_contig07798","AT3G61690","brown"
"323","CUST_12244_PI428634872",-0.952884316,-0.14436258,-0.895038403,-1.169291023,-1.218335056,-1.120812546,-1.028503378,-1.277186743,-0.954752866,-1.226934712,-1.0217668,-1.098370141,-0.970918282,-1.060761345,-1.085965951,-1.017223706,-1.002797503,-1.072471391,"S_alt_contig07819","AT3G13772","brown"
"324","CUST_12254_PI428634872",-0.351633911,0.457984579,-0.311441686,-0.164161889,-0.461501008,-0.853331892,-0.707170616,-0.923619952,-0.394862541,-0.418255474,-0.792612978,-0.539639731,-0.591424527,-0.60144939,-0.967197241,-0.592972178,-0.61866202,-0.862860951,"S_alt_contig07840","AT5G03040","brown"
"325","CUST_12258_PI428634872",-6.665772992,-7.441656388,-6.246024166,-6.815091969,-6.7394084665,-6.766421685,-6.847694682,-6.890094746,-5.694909044,-6.160266187,-6.296275762,-7.025601654,-6.572911958,-6.415880136,-5.805000911,-6.00468707,-7.622630145,-6.564235341,"S_alt_contig07844_RC","AT1G63120","brown"
"326","CUST_12262_PI428634872",-3.909026943,-0.23863866,-3.260555224,-4.24019633,-3.047900527,-3.60294752,-3.708258912,-4.270338453,-2.914434868,-2.99577199,-3.277493764,-3.387975142,-3.093829072,-4.446241881,-4.218088349,-4.903869063,-4.688483432,-3.40583724,"S_alt_contig07854","AT5G64030","brown"
"327","CUST_12265_PI428634872",-3.173964938,-3.372168332,-3.138995433,-2.427508401,-2.905084095,-3.01183183,-3.10486551,-3.135666879,-3.007884911,-2.830585125,-2.620807622,-2.751019577,-2.751663734,-2.839378407,-3.330887165,-2.811273047,-2.958820752,-2.854574323,"S_alt_contig07858","AT1G13580","brown"
"328","CUST_12272_PI428634872",-2.9566831,-3.062399425,-2.61396249,-2.883033611,-2.547588686,-3.185810817,-3.468525712,-4.149519507,-3.445470361,-2.726474277,-2.52888195,-2.741246717,-2.802316248,-3.732859902,-3.546261693,-3.554150321,-2.427629879,-2.844954547,"S_alt_contig07870","AT5G24270","brown"
"329","CUST_12273_PI428634872",-0.48458222,-0.605896365,-0.39221453,-0.387278047,-0.637529023,-0.334937506,-0.363359871,-0.119274492,0.103091934,0.09474039,-0.287805377,-0.194584803,-0.080021109,0.48463319,0.549190644,0.430460281,-0.894253113,-0.294340396,"S_alt_contig07871","AT5G07920","brown"
"330","CUST_12276_PI428634872",-2.17586446,-1.894291431,-2.161547359,-2.104546902,-2.23497237,-2.177557317,-2.191369519,-2.382278371,-2.464609892,-2.191935912,-2.22343119,-2.245936572,-2.074996481,-2.370074247,-2.401209437,-2.335117153,-2.099909418,-2.08371619,"S_alt_contig07876","AT1G43690","brown"
"331","CUST_12279_PI428634872",-6.47524876,-6.700348765,-7.651866963,-5.841141213,-6.906503159,-4.949074181,-5.605333132,-4.223572239,-5.313798496,-5.482313776,-6.513262705,-6.265741248,-5.930418576,-5.724334518,-5.029491647,-5.049544021,-6.709455853,-5.079968224,"S_alt_contig07887_RC","AT1G71820","brown"
"332","CUST_12283_PI428634872",2.774774429,3.287116943,3.017313513,3.078659509,2.848151516,3.363554131,3.171686807,3.387238247,3.207905102,3.274221352,3.109262391,3.16835795,3.241216766,3.41540073,3.386142533,3.392599768,3.186009416,3.276584164,"S_alt_contig07892","AT1G07930","brown"
"333","CUST_12300_PI428634872",-0.304172047,-0.804585825,-0.429445943,-0.306453097,-0.721977177,-0.909960174,-0.928378619,-0.937241826,-0.826902073,-0.870884697,-0.874534917,-0.746509737,-0.8525749,-1.766496938,-1.818182281,-1.772219993,-0.458963553,-0.768403251,"S_alt_contig07925","AT1G10630","brown"
"334","CUST_12326_PI428634872",-1.018177487,-1.132822665,-1.31205584,-1.232364692,-1.453308197,-1.437104145,-1.706988523,-1.608951325,-1.350053575,-1.183072188,-1.382144633,-1.289273727,-1.33704091,-1.633245466,-1.675525342,-1.568507677,-1.186054688,-1.171787843,"S_alt_contig07973","AT1G48175","brown"
"335","CUST_12329_PI428634872",-1.400062954,-0.820043661,-1.459205648,-0.83756168,-1.205943597,-1.478502795,-1.368673566,-1.181452039,-1.411488387,-0.746405205,-1.479550887,-1.267021071,-1.220370559,-1.472969759,-1.562366801,-1.369825483,-1.302725537,-0.838125448,"S_alt_contig07980","AT5G04500","brown"
"336","CUST_12330_PI428634872",2.056099322,1.827146345,1.72429691,1.989336726,2.067640575,2.040687823,1.821728304,1.816470615,2.19450128,1.939935019,1.837660597,1.694817864,1.670602097,2.38712789,2.684923088,2.300296257,2.118032216,1.721721321,"S_alt_contig07982","AT1G04760","brown"
"337","CUST_12331_PI428634872",1.665810687,1.735915027,1.612617536,1.620921472,1.530480716,1.673462384,1.614941942,1.714722195,1.359878877,1.374510315,1.664173658,1.616537579,1.554931088,1.07897325,1.077685848,1.120047296,1.933308458,1.066112517,"S_alt_contig07984_RC","AT5G16510","brown"
"338","CUST_12348_PI428634872",-2.698376243,-2.162270319,-3.084984528,-3.344905049,-3.50532879,-3.804766031,-3.773751677,-3.570505883,-3.413037342,-3.281474763,-3.248483203,-3.432472508,-3.46148616,-4.125858701,-4.346154097,-3.748513597,-2.691899233,-3.381979712,"S_alt_contig08010","AT2G46510","brown"
"339","CUST_12356_PI428634872",0.005182842,1.00892159,0.161235266,-0.053864674,-0.032789126,0.007267301,0.040012055,-0.000634033,0.256507781,0.248509026,0.282226693,0.219864922,0.164712081,-0.176693949,-0.27622645,-0.392208898,0.010994164,-0.012567692,"S_alt_contig08026_RC","AT1G48830","brown"
"340","CUST_12360_PI428634872",-2.973415138,-3.764546352,-2.893711098,-2.522169078,-3.107987529,-1.377378486,-1.383698115,-1.018709894,-2.927102021,-2.842085196,-3.39259622,-3.314502439,-3.39398678,-1.824487469,-1.593135877,-1.558896413,-3.100956978,-3.023504589,"S_alt_contig08033","AT5G43850","brown"
"341","CUST_12362_PI428634872",2.556495388,2.130151836,2.555257691,2.467168948,2.717945221,2.222214592,2.410666885,2.135989874,2.418179778,2.571682901,2.367243886,2.336885163,2.42317135,1.426202301,1.508552339,1.559201871,2.357242827,2.370814246,"S_alt_contig08036_RC","AT2G29650","brown"
"342","CUST_1238_PI428634872",-1.156215998,-1.291840464,-0.211765043,-0.199156815,-0.690688597,-0.128535691,-0.052563598,0.215981928,0.352196233,0.120953715,0.069718733,0.114003868,0.182229069,0.652417577,0.374225734,0.61053571,-1.050964575,-0.159353486,"S_5sp_contig23399","AT3G13550","brown"
"343","CUST_1239_PI428634872",-0.405409877,-0.644062907,0.298365755,0.215452332,-0.114783487,0.329065937,0.321277137,0.598574058,0.554918199,0.288437249,0.31317766,0.302254029,0.318876045,0.695933438,0.517698491,0.683560563,-0.432586698,0.084393446,"S_5sp_contig23400","AT3G13550","brown"
"344","CUST_12407_PI428634872",-6.502087787,-6.5364085,-6.523337695,-6.283977899,-5.886334727,-6.886991546,-5.914820117,-6.647098749,-5.442781799,-6.96011528,-6.390033441,-6.865022242,-6.261836976,-7.215422469,-6.83286544,-6.202455499,-6.606968233,-6.649226112,"S_alt_contig08112","AT1G12360","brown"
"345","CUST_12411_PI428634872",-0.855661396,-1.118050241,-1.125626355,-0.914259984,-1.043918652,-1.55929811,-1.382172775,-1.658969662,-1.045730615,-0.866507671,-0.759678295,-0.688442624,-0.755351335,-1.464554968,-1.33527073,-1.416706732,-1.099860807,-0.842761003,"S_alt_contig08116_NB",NA,"brown"
"346","CUST_12414_PI428634872",-3.255101864,-3.568970248,-4.100902508,-3.470695535,-3.624676739,-3.451741389,-2.861086654,-2.660830224,-3.191574782,-2.987815971,-3.722267037,-3.422894359,-3.508790838,-2.672404209,-3.064270449,-2.813778829,-3.878472593,-3.662616792,"S_alt_contig08120","AT1G59750","brown"
"347","CUST_12420_PI428634872",0.064204842,0.383727508,0.02182655,0.059467318,0.086200435,-0.095650883,0.035337086,0.103050105,0.035822835,-0.237718672,-0.042528954,-0.080989555,-0.094556551,-0.180650837,-0.063945988,-0.070781003,-0.125355627,-0.016428558,"S_alt_contig08134_RC","AT5G53480","brown"
"348","CUST_12422_PI428634872",-1.275869551,-0.937626043,-1.101116344,-1.294249095,-2.075103674,-1.764058957,-2.151424985,-2.204440657,-2.195806883,-2.494975756,-1.713559979,-1.759833383,-1.659130371,-2.646389994,-2.424547706,-2.380845561,-1.088033686,-1.875190501,"S_alt_contig08137",NA,"brown"
"349","CUST_12430_PI428634872",-4.888965239,-5.449453269,-4.663564566,-5.020400294,-5.263958852,-5.043682953,-5.443664586,-4.251281321,-4.373541139,-4.640259759,-4.936249759,-4.577904942,-4.583877811,-3.818135695,-3.996555664,-3.720240244,-4.717461615,-4.320880616,"S_alt_contig08149","AT4G38630","brown"
"350","CUST_12435_PI428634872",-0.812301422,-0.97482027,-0.901536453,-0.68755522,-1.178873122,-0.500395707,-0.555536332,-0.010816091,-0.817261293,-0.683728867,-1.126130837,-1.245595068,-1.162780975,0.346695926,0.100451606,0.401059989,-0.909373828,-0.443168148,"S_alt_contig08163","AT4G23650","brown"
