locus,30m,2h,4h,8h,24h
At5g61820,0.11,0.05,0.72,0.96,1.25
At2g18690,0.11,0.70,0.54,0.66,1.98
At2g16900,0.98,1.68,1.67,1.61,2.16
At1g07280,-0.09,-0.35,-0.59,-0.92,-0.58
At3g47070,0.09,-0.05,-0.46,-0.76,-0.62
At4g14040,0.21,-0.31,-1.01,-0.70,-0.60
At5g49730,-0.05,-0.27,-1.35,-0.79,-1.46
At4g17280,0.00,0.89,0.49,0.05,0.11
At4g38840,-0.04,-0.42,-0.57,-0.84,-1.31
At1g60710,-0.03,0.04,0.19,0.58,0.72
At1g60680,-0.15,-0.02,0.06,0.57,0.91
At5g13320,-0.10,-0.25,0.11,-0.07,1.54
At3g19820,0.07,-0.11,-0.45,-1.27,-1.15
At2g07050,0.28,0.05,-0.39,-0.96,-0.08
At5g50375,0.03,-0.35,-0.19,-0.76,-0.55
At5g20400,-0.12,-0.08,0.19,0.22,1.03
At4g26200,0.22,-0.01,0.18,0.26,1.44
At1g80330,-0.02,-0.09,0.35,0.48,0.83
At1g09400,-0.08,0.04,0.34,0.74,1.08
At5g54206,0.17,0.15,0.29,1.41,2.04
At3g16460,-0.11,0.14,-0.51,-0.89,-1.53
At3g16450,0.00,0.28,-0.51,-0.67,-1.30
At3g16440,-0.24,0.21,-0.37,-0.38,-0.91
At5g38020,0.13,0.06,1.15,-0.35,-0.11
At5g54770,0.09,-0.07,-0.11,-0.75,-0.89
At1g74710,0.05,-0.19,0.14,-0.09,1.41
At1g72090,0.03,0.05,0.00,-0.74,-0.27
At5g50210,0.00,-0.12,0.26,0.75,1.02
At1g75030,0.19,0.59,1.13,1.45,1.35
At3g52430,-0.17,-0.61,-0.33,-0.21,0.79
At5g47130,-0.12,0.19,0.21,0.26,1.16
At5g47120,0.09,0.37,0.44,0.20,1.21
At5g06320,-0.28,0.11,-0.08,0.31,1.60
At4g22210,-0.16,-0.27,-0.69,-1.56,-1.27
At5g45490,0.04,-0.24,-0.42,-0.89,-0.68
At1g33590,0.06,0.38,0.48,0.73,1.43
At1g66090,0.36,0.29,0.66,0.55,1.67
At2g29500,0.16,0.29,1.15,1.11,1.53
At5g49910,0.10,-0.13,0.09,-0.71,-0.24
At3g22530,-0.01,0.09,0.05,0.72,0.09
At1g65280,0.02,-0.02,0.30,0.89,1.56
At5g56030,0.07,0.08,0.42,-0.14,0.70
At1g59860,0.40,0.54,0.79,0.67,0.91
At5g57710,0.01,-0.02,0.49,0.52,0.91
At5g52640,-0.06,0.01,0.53,0.50,1.13
At1g62320,0.50,0.98,0.90,0.94,0.85
At1g04430,-0.02,-0.25,-0.13,-0.78,-0.21
At3g23300,0.05,-0.23,-0.14,-0.72,0.05
At4g00750,0.08,0.02,-0.08,0.95,0.00
At3g10985,0.12,0.04,-1.07,-0.17,0.74
At4g14630,-0.19,0.07,-0.39,0.06,1.09
At1g53580,-0.14,0.39,-0.06,1.07,0.29
At5g24760,-0.04,-0.50,-0.34,-1.08,-1.19
At1g05240,0.08,0.19,-1.07,-1.48,-0.91
At1g54000,0.03,-0.28,-0.77,-0.55,-1.06
At3g16420,-0.04,0.07,0.01,-0.64,-1.02
At4g12545,-0.03,0.28,-0.70,-1.20,-1.66
At4g09750,-0.12,0.08,0.58,0.37,0.71
At3g09260,0.08,0.24,0.27,-0.85,-0.81
At2g36690,0.09,-1.13,-0.18,-0.61,0.31
At1g14120,0.08,0.22,1.08,-0.05,-0.21
At5g17000,0.09,0.03,0.69,1.02,1.09
At1g14130,-0.04,0.07,0.60,1.04,0.86
At4g15760,-0.19,0.27,-0.31,0.67,0.75
At4g20830,0.14,0.55,0.52,0.87,1.20
At1g26380,0.24,0.24,0.34,0.43,1.38
At2g07811,-0.03,0.18,0.01,1.01,0.60
At4g34620,0.07,0.10,-0.26,-0.33,-0.85
At3g17170,0.02,0.23,-0.31,-0.72,-0.79
At3g48930,0.09,0.03,-0.23,-0.34,-0.68
At4g34670,0.22,0.12,-0.14,-0.40,-0.76
At3g02560,0.06,-0.05,0.23,-0.31,-0.80
At4g27090,-0.03,0.02,-0.06,-0.28,-0.71
At3g23390,0.03,0.06,-0.18,-0.26,-0.77
At4g14320,0.33,0.09,-0.33,-0.29,-0.70
At1g26630,0.04,-0.12,0.51,0.26,1.36
At2g31660,0.00,0.74,-0.40,0.55,0.68
At4g03320,0.15,0.22,0.69,1.00,0.82
At1g23490,0.48,0.76,1.04,0.64,1.32
At1g71530,0.06,0.31,0.34,0.70,0.27
At1g70490,0.14,0.22,0.18,0.11,1.04
At4g11890,0.10,0.19,-0.04,0.56,1.38
At3g51260,0.03,-0.01,0.21,0.30,0.71
At2g31865,-0.04,-0.22,0.33,0.31,1.17
At1g32940,-0.02,0.03,0.51,0.35,1.06
At3g45180,0.06,0.30,0.45,0.86,0.87
At5g23540,0.04,-0.04,0.25,0.60,0.68
At2g05840,0.07,0.06,0.47,0.44,0.77
At4g29040,0.11,-0.08,0.17,0.51,0.79
