locus	WeisLog2ratio
AT2G05440	Upregulated
 AT2G05510	Upregulated
AT2G05620	Downregulated
AT2G25510	Upregulated
AT2G27290	Downregulated
AT2G27510	Upregulated
AT2G32150	Downregulated
AT2G03550	Downregulated
AT2G03420	Downregulated
AT2G14560	Upregulated
AT2G01670	Upregulated
AT2G15050	Downregulated
AT2G15120	Upregulated
 AT2G15220	Upregulated
AT2G37220	Downregulated
AT2G24180	Upregulated
AT2G18690	Upregulated
AT2G18710	Downregulated
AT2G05940	Upregulated
AT2G18660	Upregulated
AT2G37970	Upregulated
AT2G02100	Upregulated
AT2G45180	Downregulated
AT2G02120	Upregulated
AT2G12290	Upregulated
 AT4G19700	Upregulated
AT2G28190	Upregulated
AT2G38860	Upregulated
AT2G38870	Upregulated
AT2G39010	Downregulated
AT2G02390	Upregulated
AT2G28800	Downregulated
AT2G29460	Upregulated
AT2G29310	Downregulated
AT2G29290	Downregulated
AT2G29490	Upregulated
AT2G29350	Upregulated
AT2G29360	Downregulated
AT2G29420	Upregulated
AT2G01590	Downregulated
AT2G01540	Upregulated
AT2G41380	Upregulated
AT2G14610	Upregulated
AT2G38530	Upregulated
AT2G06925	Downregulated
AT2G47940	Downregulated
AT2G16890	Upregulated
AT2G16900	Upregulated
AT2G35260	Downregulated
AT2G24090	Downregulated
AT2G23910	Upregulated
AT2G14910	Downregulated
AT2G29670	Downregulated
AT2G25900	Downregulated
AT2G29650	Downregulated
AT2G29630	Downregulated
AT2G03310	Downregulated
AT2G03200	Upregulated
AT2G46750	Upregulated
AT2G46820	Downregulated
AT2G02930	Upregulated
 AT4G02520	Upregulated
AT2G44920	Downregulated
AT2G26900	Downregulated
AT2G44790	Upregulated
AT2G26080	Downregulated
AT2G45740	Downregulated
AT2G39470	Downregulated
AT2G39210	Upregulated
AT2G34420	Downregulated
 AT2G34430	Downregulated
AT2G38380	Upregulated
 AT2G38390	Upregulated
AT2G32480	Downregulated
AT2G41090	Upregulated
AT2G41190	Upregulated
AT2G41100	Downregulated
AT2G38140	Downregulated
AT2G23540	Upregulated
AT2G23390	Downregulated
AT2G38210	Downregulated
 AT2G38230	Downregulated
AT2G31040	Downregulated
AT2G37710	Upregulated
AT2G37660	Downregulated
AT2G37760	Upregulated
AT2G30950	Downregulated
AT2G02500	Downregulated
AT2G44080	Upregulated
AT2G44130	Upregulated
AT2G30250	Upregulated
AT2G30170	Downregulated
AT2G22990	Downregulated
AT2G22980	Downregulated
AT2G30140	Upregulated
AT2G30210	Upregulated
AT2G19310	Downregulated
AT2G40000	Downregulated
